RT,SERIALNO,DIVISION,SPORDER,PUMA,REGION,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTR,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPI,MLPJ,MLPK,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDISP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHICOVP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRP,FLANP,FLANXP,FMARP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPERNP,FPINCP,FPOBP,FPOWSP,FPRIVCOVP,FPUBCOVP,FRACP,FRELP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80
P,2018GQ0000119,9,01,03729,4,06,1013097,14,90,5,,,1,2,2,1,1,,,1,4,,2,,,2,2,1,2,2,2,2,0,,,,1,2,2,2,1,2,1958,3,4,,,,,,,,,,3,5,3,3,3,0,0,16,0,1,,10,0,2,0,0,0,,3,,,1956,1,210,999,2,1,,,6,,,1,02,,,,1200,03700,006,3,,2,,,,,0,0,303,,,,2,1,1,8,67,015,0,0,0,0,1,0,1,0,,,,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,14,2,2,1,0,14,2,14,0,14,14,14,14,0,0,15,15,2,14,14,26,14,14,14,14,26,14,26,14,26,26,26,27,15,14,26,28,14,27,26,15,26,26,26,26,14,27,14,26,14,14,14,14,26,26,14,14,26,14,14,0,14,14,14,12,2,14,2,14,2,2,0,2,14,14,2,0,14,2,0
P,2018GQ0000173,9,01,05303,4,06,1013097,66,60,1,,,2,2,2,2,2,,2,2,,,2,,,2,2,2,1,2,2,2,0,,,,2,5,,,,,,1,2,0,0,0,1,0,0,0,0,0,3,5,3,3,3,0,0,16,0,1,,22,0,1,0,0,0,,3,,,,1,195,999,,2,,,6,5507,,1,01,,,,,,,6,,1,,,,,0,0,006,,,,2,1,3,1,01,001,0,0,0,0,1,0,0,1,,1,2,,,,06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,118,117,120,115,15,68,66,116,14,65,64,15,70,65,14,64,65,66,70,14,120,117,112,120,16,66,66,117,14,66,68,14,67,64,14,67,67,67,66,14,112,114,116,117,14,66,69,120,14,65,67,14,67,68,15,68,67,67,64,14,119,121,118,119,15,66,65,115,15,67,66,14,68,64,15,64,64,66,62
P,2018GQ0000828,9,01,05909,4,06,1013097,8,32,5,,1,2,2,2,2,2,,,2,,,2,,,2,1,2,2,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,2,5,2,2,3,0,0,17,0,1,,21,0,1,0,0,0,,2,,2,2017,1,325,999,8,2,,,6,2107,,1,01,8590,,,,,,6,713Z,2,,,4621,,0,0,321,0,,,1,2,3,6,43,005,0,1,0,0,1,0,0,0,,1,2,,,399031,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,15,7,15,0,8,7,8,0,8,15,8,0,0,8,8,1,15,8,15,8,0,7,0,15,8,6,7,15,7,0,8,14,15,8,7,13,0,6,0,8,0,8,0,14,8,8,8,14,8,1,8,15,16,8,7,15,0,7,0,7,15,8,15,0,8,8,8,0,8,14,7,0,0,8,7,0,15,7,16,8
P,2018GQ0006447,9,01,07310,4,06,1013097,57,18,1,,5,2,2,2,2,2,,2,2,,,,,,1,2,2,2,1,2,2,0,,,11,2,5,,,,,,3,1,1,0,0,0,0,0,0,0,0,2,3,2,2,2,0,0,17,0,2,14,16,0,1,0,0,3800,99,1,6,1,,2,050,142,,2,,,4,,,1,01,9770,,,,05400,048,6,928110P4,1,,,9825,,3800,3800,048,,07300,006,1,2,3,1,01,001,0,0,0,0,1,0,0,1,,,,,,553010,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,58,63,61,62,55,115,113,106,53,4,58,119,53,55,113,58,4,5,105,104,56,55,60,58,55,5,5,4,57,108,56,4,55,57,5,57,114,108,115,109,59,56,56,57,56,5,4,4,55,105,54,5,58,62,4,62,107,110,4,5,57,56,56,59,52,114,110,105,54,4,58,110,56,57,105,58,5,5,4
P,2018GQ0018135,9,01,03743,4,06,1013097,27,52,1,,,2,2,2,2,2,,,1,,,2,,,2,2,2,2,2,2,2,0,,,,2,1,2,2,2,2,2004,3,4,,,,,,,,,,2,5,2,2,3,0,0,16,0,1,,17,0,1,0,0,0,,3,,2,,1,026,999,,1,,,6,,,2,01,,,,,03700,006,2,,1,,,,,0,0,006,,,,2,2,2,1,01,001,0,0,0,0,1,0,0,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,26,27,47,46,28,48,46,26,26,26,26,49,26,46,27,48,49,27,6,6,27,26,5,7,26,7,6,26,26,28,25,6,27,6,26,7,6,26,48,46,26,28,49,48,27,49,49,27,27,26,26,48,27,46,26,48,48,26,6,6,27,28,7,6,28,6,4,27,26,26,27,7,26,7,26,5,6,24
P,2018GQ0025845,9,01,07313,4,06,1013097,60,22,1,,1,2,2,2,2,2,,,2,,2,,,,2,2,2,1,2,2,2,0,,,,2,5,,,,,,1,4,,,,,,,,,,3,5,3,3,3,0,0,16,0,2,14,14,0,2,0,0,7000,35,1,6,,,4,999,999,,2,,,6,,,1,01,6390,,,,,,6,493,1,,,9645,,7000,7000,006,,,,2,1,3,1,01,001,0,0,0,0,1,0,0,1,,,,,,537065,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60,61,107,60,109,13,13,59,60,62,109,58,14,61,13,12,108,59,106,60,59,63,13,61,14,109,105,60,62,60,13,63,107,58,105,101,13,59,13,62,59,58,106,60,105,13,12,61,59,58,102,59,12,62,13,13,115,60,108,60,59,59,13,60,12,108,106,60,58,60,14,60,106,61,105,110,14,60,13,57
P,2018GQ0032809,9,01,01905,4,06,1013097,62,68,4,1970,,1,2,2,1,1,,,2,4,,2,,,2,2,1,1,2,2,2,0,,,,1,2,2,2,1,2,1972,1,4,,,,,,,,,,3,5,3,3,3,0,0,16,0,1,,20,0,2,0,0,0,,3,,,1958,1,615,999,2,1,,,6,,,1,01,,,,1420,,,3,,2,,,,,0,0,210,,,,2,1,3,6,38,004,0,1,0,0,1,0,0,0,,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,62,62,64,124,120,62,63,60,122,4,119,62,6,4,5,64,118,6,63,60,61,63,63,117,119,61,62,62,116,6,117,62,5,6,4,62,122,5,64,62,64,64,62,6,4,61,61,65,6,117,4,62,118,121,119,62,5,118,60,59,64,62,64,6,4,62,62,64,6,122,5,61,118,121,121,61,6,122,62,62
P,2018GQ0037317,9,01,06706,4,06,1013097,100,65,4,2001,,2,2,2,1,2,,,2,1,,2,,,2,2,1,1,2,2,2,0,,,,1,5,,,,,,3,4,,,,,,,,,,2,5,2,2,3,0,0,17,0,1,,16,0,1,0,12000,0,,3,,2,1984,1,720,999,5,1,,,6,,,1,01,,,,2920,06100,006,6,,2,,,,,0,12000,233,100,,,2,1,4,6,45,006,0,1,0,0,1,0,0,0,,,,,,,,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,196,2,185,101,2,2,0,98,195,0,102,104,97,105,208,183,101,101,102,95,2,208,2,105,210,194,205,99,2,209,97,97,101,98,0,2,104,98,103,102,0,200,0,94,195,195,193,94,2,196,96,93,100,101,2,0,114,96,99,105,204,2,205,99,2,2,0,102,185,2,97,104,104,101,207,196,105,99,100,97
P,2018GQ0054656,9,01,07107,4,06,1013097,82,72,1,,,2,2,2,2,2,,,2,,,2,,,2,2,1,1,2,2,2,0,,,,2,2,2,2,1,2,1977,1,4,,,,,,,,,,2,3,2,2,2,0,0,16,0,1,,21,0,2,0,0,0,,3,,2,,1,615,999,,2,,,6,6402,,1,01,,,,,,,3,,1,,,,,0,0,006,,,,2,1,4,6,38,004,0,1,0,0,1,0,0,0,,2,2,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,159,82,82,84,12,157,82,83,13,84,12,14,160,152,79,83,83,85,11,152,11,86,83,88,152,12,76,81,156,80,145,152,14,12,76,83,83,83,12,152,13,78,86,81,163,12,83,81,152,80,161,155,11,11,80,78,84,83,152,12,153,78,80,79,14,161,84,85,12,85,13,14,154,160,85,79,77,85,160
P,2018HU0503286,9,01,08302,4,06,1013097,90,69,1,,,2,1,2,2,2,5,1,2,,,2,,,2,1,1,1,1,1,2,0,,,,2,3,2,2,1,2,1974,1,2,0,0,0,1,0,0,0,0,0,2,5,2,2,3,33400,0,00,0,1,,18,0,1,13500,0,0,,3,,2,,1,091,999,,1,,,6,,,1,01,,,,,,,4,,1,,0,,,0,46900,006,453,,,1,1,4,1,01,001,0,0,0,0,1,0,0,1,0,,,,,,06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,82,85,95,103,81,29,95,148,25,99,24,87,138,103,157,32,95,121,28,146,92,90,89,86,96,31,83,145,28,76,28,105,155,85,196,31,87,159,27,147,104,94,92,83,106,27,80,160,35,83,32,81,173,93,141,26,99,182,22,152,87,83,100,85,102,31,94,154,28,86,28,90,152,78,114,27,82,161,25
