0,61, Private,128230, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
1,34, Self-emp-inc,154120, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
2,30, Private,230224, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
3,41, Local-gov,36924, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
4,43, Private,212894, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
5,49, Private,268022, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
6,52, State-gov,254285, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,70, Germany, >50K
7,63, ?,222289, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,7688,0,54, United-States, >50K
8,60, Private,232618, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
9,28, Self-emp-not-inc,209205, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
10,44, Private,267717, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
11,37, Federal-gov,289653, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
12,45, Private,267967, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
13,37, Private,298539, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,55, United-States, >50K
14,60, ?,112821, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,35, United-States, >50K
15,31, Private,186787, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,42, United-States, <=50K
16,60, Private,56248, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
17,45, Self-emp-not-inc,220978, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18,31, Private,77634, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,42, United-States, <=50K
19,36, Private,220696, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
20,28, Private,294936, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
21,17, Private,167878, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
22,21, ?,191806, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,75, United-States, <=50K
23,39, Private,51264, 11th,7, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24,31, Private,132601, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25,27, Private,50295, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
26,25, Private,458549, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,96, Mexico, <=50K
27,42, Private,313945, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Ecuador, <=50K
28,35, Private,112264, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
29,52, Private,35598, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
30,40, Private,163215, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,10520,0,40, United-States, >50K
31,37, Private,270059, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,25236,0,25, United-States, >50K
32,27, Private,311446, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,5178,0,40, United-States, >50K
33,41, Private,65372, Doctorate,16, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, >50K
34,52, Private,147876, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,15024,0,60, United-States, >50K
35,25, Local-gov,167835, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,38, United-States, >50K
36,38, Private,186325, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,38, United-States, >50K
37,37, Private,269329, Assoc-voc,11, Divorced, Prof-specialty, Not-in-family, White, Female,8614,0,45, United-States, >50K
38,47, Private,121836, Masters,14, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,38, United-States, >50K
39,28, Private,96020, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
40,67, Local-gov,190661, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,7896,0,50, United-States, >50K
41,33, Private,36539, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
42,40, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K
43,50, Local-gov,425804, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
44,40, Private,99604, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,24, United-States, >50K
45,27, Private,660870, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
46,24, Private,174461, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
47,19, State-gov,165289, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
48,41, Private,283116, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,1506,0,50, United-States, <=50K
